Date	Today Cash	Expense	Total Sale
9-May	1450	1190	3140
10-May	1200	986	1156
11-May	2100	55	1245
12-May	2080	1335	2050
13-May	1250	1940	1330
14-May	900	1150	1680
15-May	860	735	1365
16-May	560	1330	550
17-May	1450	0	1580
18-May	670	5318	1448
19-May	1100	835	770
20-May	1980	0	1200
21-May	870	4320	1210
22-May	1530	90	1450
23-May	460	1210	510
24-May	1030	0	1150
25-May	1210	1980	1210
26-May	1200	110	1320
27-May	1100	1300	1710
28-May	1000	1100	1290
29-May	1350	1050	1590
31-May	270	1250	290

Date	Today Cash	Expense	Total Sale
1-Jun	2020	0	2480
2-Jun	1150	4330	2050
3-Jun	940	2095	1005
4-Jun	1060	0	370
5-Jun	620	710	690
6-Jun	1650	325	2205
7-Jun	1030	1060	690
8-Jun	880	980	1080
9-Jun	1280	770	1930
10-Jun	1200	910	1240
11-Jun	730	1960	2511
14-Jun	520	1575	1525
15-Jun	670	1145	1350
16-Jun	1580	2385	3050
17-Jun	2720	4188	2010
18-Jun	2670	1420	2210
19-Jun	900	2840	2020
20-Jun	2200	150	2090
21-Jun	2370	1135	2045
22-Jun	2300	2610	2700
23-Jun	1660	3740	4660
26-Jun	2600	1955	3885
27-Jun	2440	3455	4935
28-Jun	2630	1640	3040
29-Jun	2500	2170	3740
30-Jun	2630	14471	4001

Date	Today Cash	Expense	Total Sale
1-Jul	2930	1150	2250
2-Jul	2880	2530	3070
3-Jul	220	1150	3075
4-Jul	1680	80	3410
5-Jul	1600	2727	4267
6-Jul	1350	1920	2100
7-Jul	2460	940	4950
8-Jul	2550	2525	3495
9-Jul	1720	2115	2950
10-Jul	750	1900	1470
11-Jul	1840	1340	2510
12-Jul	1200	1620	1950
13-Jul	2000	7300	1690
14-Jul	2560	2890	4945
15-Jul	450	2360	2160
16-Jul	2150	1364	3413
17-Jul	1700	1750	3140
18-Jul	1370	1765	1885
19-Jul	2700	190	2241
20-Jul	2970	1550	2310
21-Jul	4400	2580	5540
22-Jul	100	15630	1680
23-Jul	1510	470	2330
24-Jul	1560	3240	2470
25-Jul	1520	1945	3330
26-Jul	1000	2388	3198
27-Jul	320	1000	1360
28-Jul	1360	3068	5048
29-Jul	1150	1110	1952
30-Jul	2700	1990	2790
31-Jul	720	2565	2350

Date	Today Cash	Expense	Total Sale
1-Aug	1350	1285	4220
2-Aug	1000	1960	1750
3-Aug	800	1200	1820
4-Aug	1620	1596	3966
5-Aug	850	1840	1580
6-Aug	1600	1660	3435
7-Aug	1320	2860	1800
8-Aug	800	1500	2500
9-Aug	1400	335	2435
10-Aug	3500	5025	5370
11-Aug	2500	3698	4478
12-Aug	2680	0	510
13-Aug	250	4408	1701
14-Aug	860	1622	4112
15-Aug	260	2295	1061
16-Aug	530	1210	1590
17-Aug	2110	288	2638
18-Aug	920	2235	1760
